"#","Name","Color","Parent","Start","Stop","Icon","D","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]","[Namechange","When","D]"
"N","SLS","#9c8ac4",,"1992.6","1994.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Slackware","#000","SLS","1993.7.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","S.u.S.E","#4bb679","Slackware","1994.3","1996.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Debian","#bf1238",,"1993.8.16",,,,"1.1 Buzz","1996.06.17",,"1.2 Rex","1996.12.12",,"1.3 Bo","1997.07.02",,"2.0 Hamm","1998.07.24",,"2.1 Slink","1999.03.09",,"2.2 Potato","2000.08.15",,"3.0 Woody","2002.07.19",,"3.1 Sarge","2005.06.06",,"4.0 Etch","2007.04.08",,"5.0 Lenny","2009.02.14",,"6.0 Squeeze","2011.02.06",,"7 Wheezy","2013.05.04",,"8 Jessie","2015.04.25",,"9 Stretch","2017.06.17",,"10 Buster","2019.07.06",,"11 Bullseye","2021.08.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Ubuntu","#e95420","Debian","2004.10.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Raspbian","#c61931","Debian","2012.6",,,,"Raspberry Pi OS","2020.05.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","Red Hat","#cc0000",,"1994.11.3",,,,"Red Hat Enterprise","2002.3.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
